zone_cotiere,region,cote,lat_min,lat_max,lon_min,lon_max,description
CAP D'AMBRE A TOAMASINA,DIANA,EST,-18.5,-11.5,49.0,50.5,Côte nord-est de Madagascar
CAP D'AMBRE A TOAMASINA,SAVA,EST,-18.5,-11.5,49.0,50.5,Côte nord-est de Madagascar
CAP D'AMBRE A TOAMASINA,ANALANJIROFO,EST,-18.5,-11.5,49.0,50.5,Côte nord-est de Madagascar
CAP D'AMBRE A TOAMASINA,ATSINANANA,EST,-18.5,-11.5,49.0,50.5,Côte nord-est de Madagascar
CAP D'AMBRE A MAHANORO,DIANA,EST,-20.0,-11.5,48.5,50.5,Côte nord-est étendue jusqu'à Mahanoro
CAP D'AMBRE A MAHANORO,SAVA,EST,-20.0,-11.5,48.5,50.5,Côte nord-est étendue jusqu'à Mahanoro
CAP D'AMBRE A MAHANORO,ANALANJIROFO,EST,-20.0,-11.5,48.5,50.5,Côte nord-est étendue jusqu'à Mahanoro
CAP D'AMBRE A MAHANORO,ATSINANANA,EST,-20.0,-11.5,48.5,50.5,Côte nord-est étendue jusqu'à Mahanoro
CAP D'AMBRE A ANTALAHA,DIANA,EST,-15.0,-11.5,49.0,50.5,Extrême nord-est
CAP D'AMBRE A ANTALAHA,SAVA,EST,-15.0,-11.5,49.0,50.5,Extrême nord-est
CAP D'AMBRE A CAP EST,DIANA,NORD-EST,-15.5,-11.5,49.0,50.5,Pointe nord jusqu'au Cap Est (Masoala)
CAP D'AMBRE A CAP EST,SAVA,NORD-EST,-15.5,-11.5,49.0,50.5,Pointe nord jusqu'au Cap Est (Masoala)
TOAMASINA AU CAP SAINTE MARIE,ATSINANANA,EST-SUD,-25.6,-18.0,45.0,49.5,Toute la côte est-sud
TOAMASINA AU CAP SAINTE MARIE,VATOVAVY FITOVINANY,EST-SUD,-25.6,-18.0,45.0,49.5,Toute la côte est-sud
TOAMASINA AU CAP SAINTE MARIE,ATSIMO ATSINANANA,EST-SUD,-25.6,-18.0,45.0,49.5,Toute la côte est-sud
TOAMASINA AU CAP SAINTE MARIE,ANOSY,EST-SUD,-25.6,-18.0,45.0,49.5,Toute la côte est-sud
TOAMASINA AU CAP SAINTE MARIE,ANDROY,EST-SUD,-25.6,-18.0,45.0,49.5,Toute la côte est-sud
TOAMASINA A TAOLAGNARO,ATSINANANA,EST-SUD,-25.1,-18.0,47.0,49.5,Côte est de Toamasina à Fort-Dauphin
TOAMASINA A TAOLAGNARO,VATOVAVY FITOVINANY,EST-SUD,-25.1,-18.0,47.0,49.5,Côte est de Toamasina à Fort-Dauphin
TOAMASINA A TAOLAGNARO,ATSIMO ATSINANANA,EST-SUD,-25.1,-18.0,47.0,49.5,Côte est de Toamasina à Fort-Dauphin
TOAMASINA A TAOLAGNARO,ANOSY,EST-SUD,-25.1,-18.0,47.0,49.5,Côte est de Toamasina à Fort-Dauphin
MAHANORO AU CAP SAINTE MARIE,ATSINANANA,EST-SUD,-25.6,-19.8,45.0,48.8,Côte sud-est de Mahanoro au Cap Sainte Marie
MAHANORO AU CAP SAINTE MARIE,VATOVAVY FITOVINANY,EST-SUD,-25.6,-19.8,45.0,48.8,Côte sud-est de Mahanoro au Cap Sainte Marie
MAHANORO AU CAP SAINTE MARIE,ATSIMO ATSINANANA,EST-SUD,-25.6,-19.8,45.0,48.8,Côte sud-est de Mahanoro au Cap Sainte Marie
MAHANORO AU CAP SAINTE MARIE,ANOSY,EST-SUD,-25.6,-19.8,45.0,48.8,Côte sud-est de Mahanoro au Cap Sainte Marie
MAHANORO AU CAP SAINTE MARIE,ANDROY,EST-SUD,-25.6,-19.8,45.0,48.8,Côte sud-est de Mahanoro au Cap Sainte Marie
CAP EST A TAOLAGNARO,ANALANJIROFO,EST,-25.1,-15.0,47.0,50.5,Toute la côte est
CAP EST A TAOLAGNARO,ATSINANANA,EST,-25.1,-15.0,47.0,50.5,Toute la côte est
CAP EST A TAOLAGNARO,VATOVAVY FITOVINANY,EST,-25.1,-15.0,47.0,50.5,Toute la côte est
CAP EST A TAOLAGNARO,ATSIMO ATSINANANA,EST,-25.1,-15.0,47.0,50.5,Toute la côte est
CAP EST A TAOLAGNARO,ANOSY,EST,-25.1,-15.0,47.0,50.5,Toute la côte est
CAP D'AMBRE A BESALAMPY,DIANA,OUEST-NORD,-17.0,-11.5,44.0,49.5,Côte nord-ouest
CAP D'AMBRE A BESALAMPY,SOFIA,OUEST-NORD,-17.0,-11.5,44.0,49.5,Côte nord-ouest
CAP D'AMBRE A BESALAMPY,BOENY,OUEST-NORD,-17.0,-11.5,44.0,49.5,Côte nord-ouest
CAP D'AMBRE A BESALAMPY,MELAKY,OUEST-NORD,-17.0,-11.5,44.0,49.5,Côte nord-ouest
BESALAMPY A MOROMBE,MELAKY,OUEST,-22.0,-16.5,43.0,45.0,Côte ouest centrale
BESALAMPY A MOROMBE,MENABE,OUEST,-22.0,-16.5,43.0,45.0,Côte ouest centrale
BESALAMPY A MOROMBE,ATSIMO ANDREFANA,OUEST,-22.0,-16.5,43.0,45.0,Côte ouest centrale
MOROMBE AU CAP SAINTE MARIE,ATSIMO ANDREFANA,OUEST-SUD,-25.6,-21.5,43.0,45.5,Côte sud-ouest
MOROMBE AU CAP SAINTE MARIE,ANDROY,OUEST-SUD,-25.6,-21.5,43.0,45.5,Côte sud-ouest
MOROMBE A TAOLAGNARO,ATSIMO ANDREFANA,SUD,-25.5,-21.5,43.0,47.5,Côte sud complète de Morombe à Fort-Dauphin
MOROMBE A TAOLAGNARO,ANDROY,SUD,-25.5,-21.5,43.0,47.5,Côte sud complète de Morombe à Fort-Dauphin
MOROMBE A TAOLAGNARO,ANOSY,SUD,-25.5,-21.5,43.0,47.5,Côte sud complète de Morombe à Fort-Dauphin
