date,vent_vitesse_min_min,vent_vitesse_min_mean,vent_vitesse_max_max,vent_vitesse_max_mean,vent_rafales_max,vent_rafales_mean,vent_direction_deg_max,vent_direction_deg_mean,mer_score_min_min,mer_score_min_mean,mer_score_max_max,mer_score_max_mean,mer_hauteur_min_min,mer_hauteur_min_mean,mer_hauteur_max_max,mer_hauteur_max_mean,temps_precipitation_max,temps_precipitation_mean,temps_orage_max,temps_orage_mean,temps_visibilite_reduite_min,temps_visibilite_reduite_mean,temps_clair_min,temps_clair_mean,temps_nuageux_max,temps_nuageux_mean,temps_score_danger_max,temps_score_danger_mean,score_risque_max,score_risque_mean,date_only,incident,annee,mois,jour,jour_semaine,jour_annee,saison_cyclonique,weekend,mois_sin,mois_cos,vent_amplitude,vent_moyen,rafales_fortes,mer_hauteur_moy,mer_amplitude,nb_conditions_defavorables,score_meteo_max
2019-09-06,5.0,13.0,25.0,18.0,35.0,27.5,90.0,90.0,5.0,5.0,7.0,6.333333333333333,1.25,1.25,6.0,4.666666666666667,1,0.4,0,0.0,0,0.0,0,0.4,1,0.2,3,0.8,49,37.4,2019-09-06,0,2019,9,6,4,249,0,0,-1.0,-1.8369701987210297e-16,20.0,15.5,1,3.625,4.75,1.4,49.0
2019-09-07,15.0,18.0,25.0,23.0,30.0,30.0,180.0,144.0,5.0,5.0,7.0,6.5,1.25,1.25,6.0,4.6,0,0.0,0,0.0,0,0.0,0,0.2,1,0.2,0,0.0,60,37.0,2019-09-07,0,2019,9,7,5,250,0,1,-1.0,-1.8369701987210297e-16,10.0,20.5,1,3.625,4.75,0.0,60.0
2019-09-09,5.0,9.0,20.0,14.0,30.0,21.25,180.0,117.0,3.0,5.0,7.0,5.8,0.1,1.6199999999999999,3.5,2.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,55,35.0,2019-09-09,0,2019,9,9,0,252,0,0,-1.0,-1.8369701987210297e-16,15.0,11.5,1,1.8,3.4,0.0,55.0
2019-09-10,5.0,11.0,25.0,16.0,30.0,25.0,180.0,108.0,3.0,4.4,6.0,5.2,0.1,0.8699999999999999,3.5,2.1,0,0.0,0,0.0,0,0.0,0,0.2,0,0.0,0,0.0,55,35.0,2019-09-10,0,2019,9,10,1,253,0,0,-1.0,-1.8369701987210297e-16,20.0,13.5,1,1.8,3.4,0.0,55.0
2019-09-13,5.0,7.5,15.0,12.5,25.0,17.5,135.0,82.5,3.0,3.8,5.0,5.0,0.1,0.42000000000000004,2.5,2.3,1,0.16666666666666666,0,0.0,0,0.0,0,0.5,1,0.3333333333333333,2,0.3333333333333333,36,26.0,2019-09-13,0,2019,9,13,4,256,0,0,-1.0,-1.8369701987210297e-16,10.0,10.0,0,1.3,2.4,1.1666666666666667,36.0
2019-09-14,5.0,9.0,15.0,14.0,25.0,22.5,90.0,90.0,4.0,4.0,6.0,5.333333333333333,0.5,0.5,4.0,3.0,1,0.2,0,0.0,0,0.0,0,0.6,1,0.2,2,0.4,36,24.2,2019-09-14,0,2019,9,14,5,257,0,1,-1.0,-1.8369701987210297e-16,10.0,11.5,0,2.25,3.5,1.2,36.0
2019-09-16,5.0,6.666666666666667,15.0,11.666666666666666,25.0,18.0,90.0,75.0,3.0,4.0,6.0,4.75,0.1,0.5875,4.0,2.375,0,0.0,0,0.0,0,0.0,0,0.5,1,0.16666666666666666,0,0.0,40,20.0,2019-09-16,1,2019,9,16,0,259,0,0,-1.0,-1.8369701987210297e-16,10.0,9.166666666666666,0,2.05,3.9,0.0,40.0
2019-09-17,5.0,6.666666666666667,15.0,10.0,25.0,20.0,135.0,105.0,3.0,4.0,6.0,4.666666666666667,0.1,0.6166666666666667,5.0,2.6666666666666665,0,0.0,0,0.0,0,0.0,1,1.0,1,0.3333333333333333,0,0.0,40,25.0,2019-09-17,0,2019,9,17,1,260,0,0,-1.0,-1.8369701987210297e-16,10.0,8.333333333333334,0,2.55,4.9,0.0,40.0
2019-09-19,5.0,10.0,25.0,17.0,25.0,20.0,90.0,90.0,3.0,4.2,6.0,4.8,0.1,0.72,4.0,2.4,1,0.2,0,0.0,0,0.0,0,0.6,1,0.2,2,0.4,46,33.2,2019-09-19,0,2019,9,19,3,262,0,0,-1.0,-1.8369701987210297e-16,20.0,13.5,0,2.05,3.9,1.2,46.0
2019-09-20,10.0,11.0,20.0,16.0,25.0,25.0,90.0,60.0,3.0,4.25,6.0,5.5,0.1,0.775,4.0,3.25,1,0.2,0,0.0,0,0.0,0,0.6,1,0.2,2,0.4,40,31.2,2019-09-20,0,2019,9,20,4,263,0,0,-1.0,-1.8369701987210297e-16,10.0,13.5,0,2.05,3.9,1.2,40.0
