vent_vitesse_min_min,vent_vitesse_min_mean,vent_vitesse_max_max,vent_vitesse_max_mean,vent_rafales_max,vent_rafales_mean,vent_direction_deg_max,vent_direction_deg_mean,mer_score_min_min,mer_score_min_mean,mer_score_max_max,mer_score_max_mean,mer_hauteur_min_min,mer_hauteur_min_mean,mer_hauteur_max_max,mer_hauteur_max_mean,temps_precipitation_max,temps_precipitation_mean,temps_orage_max,temps_orage_mean,temps_visibilite_reduite_min,temps_visibilite_reduite_mean,temps_clair_min,temps_clair_mean,temps_nuageux_max,temps_nuageux_mean,temps_score_danger_max,temps_score_danger_mean,score_risque_max,score_risque_mean,annee,mois,jour,jour_semaine,jour_annee,saison_cyclonique,weekend,mois_sin,mois_cos,vent_amplitude,vent_moyen,rafales_fortes,mer_hauteur_moy,mer_amplitude,nb_conditions_defavorables,score_meteo_max,incident,date,swh_mean_global,swh_mean_max,swh_mean_std,swh_max_absolu,swh_max_mean,swh_std_mean,score_vague_max,score_vague_mean,n_points_total,ecart_hauteur_bulletin_satellite,swh_coefficient_variation,swh_extreme,score_satellite_composite,vent_mer_risque,rafale_mer_risque,score_saison_risque,vent_precipitation_risque,score_composite_meteo,ratio_mer_vent,vent_vitesse_max_max_lag1,vent_vitesse_max_max_lag2,vent_vitesse_max_max_lag3,mer_hauteur_max_max_lag1,mer_hauteur_max_max_lag2,mer_hauteur_max_max_lag3,score_risque_max_lag1,score_risque_max_lag2,score_risque_max_lag3,vent_rafales_max_lag1,vent_rafales_max_lag2,vent_rafales_max_lag3,vent_vitesse_max_max_rolling3,vent_vitesse_max_max_rolling7,mer_hauteur_max_max_rolling3,mer_hauteur_max_max_rolling7,score_risque_max_rolling3,score_risque_max_rolling7,vent_rafales_max_rolling3,vent_rafales_max_rolling7,degradation_score,degradation_vent,tendance_risque,taux_incident_global,score_risque_mois,taux_incident_saison
5.0,13.0,25.0,18.0,35.0,27.5,90.0,90.0,5.0,5.0,7.0,6.333333333333333,1.25,1.25,6.0,4.666666666666667,1,0.4,0,0.0,0,0.0,0,0.4,1,0.2,3,0.8,49,37.4,2019,9,6,4,249,0,0,-1.0,-1.8369701987210294e-16,20.0,15.5,1,3.625,4.75,1.4,49.0,0,2019-09-06,,,,,,,,,,,,0,,150.0,210.0,0,25.0,37.7,0.23076923076923078,20.0,20.0,20.0,2.75,2.75,2.75,30.0,30.0,30.0,25.0,25.0,25.0,25.0,25.0,6.0,6.0,49.0,49.0,35.0,35.0,0.0,0.0,0.0,0.15151515151515152,26.47058823529412,0.1858974358974359
5.0,9.0,20.0,14.0,30.0,21.25,180.0,117.0,3.0,5.0,7.0,5.8,0.1,1.62,3.5,2.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,55,35.0,2019,9,9,0,252,0,0,-1.0,-1.8369701987210294e-16,15.0,11.5,1,1.8,3.4,0.0,55.0,0,2019-09-09,,,,,,,,,,,,0,,70.0,105.0,0,0.0,23.5,0.16666666666666666,25.0,20.0,20.0,6.0,2.75,2.75,49.0,30.0,30.0,35.0,25.0,25.0,22.5,22.5,4.75,4.75,52.0,52.0,32.5,32.5,6.0,-5.0,0.0,0.15151515151515152,26.47058823529412,0.1858974358974359
5.0,11.0,25.0,16.0,30.0,25.0,180.0,108.0,3.0,4.4,6.0,5.2,0.1,0.8699999999999999,3.5,2.1,0,0.0,0,0.0,0,0.0,0,0.2,0,0.0,0,0.0,55,35.0,2019,9,10,1,253,0,0,-1.0,-1.8369701987210294e-16,20.0,13.5,1,1.8,3.4,0.0,55.0,0,2019-09-10,,,,,,,,,,,,0,,87.5,105.0,0,0.0,25.0,0.1346153846153846,20.0,25.0,20.0,3.5,6.0,2.75,55.0,49.0,30.0,30.0,35.0,25.0,23.333333333333332,23.333333333333332,4.333333333333333,4.333333333333333,53.0,53.0,31.666666666666668,31.666666666666668,0.0,5.0,0.0,0.15151515151515152,26.47058823529412,0.1858974358974359
5.0,7.5,15.0,12.5,25.0,17.5,135.0,82.5,3.0,3.8,5.0,5.0,0.1,0.42,2.5,2.3,1,0.1666666666666666,0,0.0,0,0.0,0,0.5,1,0.3333333333333333,2,0.3333333333333333,36,26.0,2019,9,13,4,256,0,0,-1.0,-1.8369701987210294e-16,10.0,10.0,0,1.3,2.4,1.1666666666666667,36.0,0,2019-09-13,,,,,,,,,,,,0,,37.5,62.5,0,15.0,17.2,0.15625,25.0,20.0,25.0,3.5,3.5,6.0,55.0,55.0,49.0,30.0,30.0,35.0,20.0,21.25,3.1666666666666665,3.875,48.666666666666664,48.75,28.333333333333332,30.0,-19.0,-10.0,-0.0833333333333357,0.15151515151515152,26.47058823529412,0.1858974358974359
5.0,9.0,15.0,14.0,25.0,22.5,90.0,90.0,4.0,4.0,6.0,5.333333333333333,0.5,0.5,4.0,3.0,1,0.2,0,0.0,0,0.0,0,0.6,1,0.2,2,0.4,36,24.2,2019,9,14,5,257,0,1,-1.0,-1.8369701987210294e-16,10.0,11.5,0,2.25,3.5,1.2,36.0,0,2019-09-14,,,,,,,,,,,,0,,60.0,100.0,0,15.0,24.7,0.25,15.0,25.0,20.0,2.5,3.5,3.5,36.0,55.0,55.0,25.0,30.0,30.0,18.333333333333332,20.0,3.3333333333333335,3.9,42.333333333333336,46.2,26.666666666666668,29.0,0.0,0.0,-3.866666666666667,0.15151515151515152,26.47058823529412,0.1858974358974359
5.0,6.666666666666667,15.0,10.0,25.0,20.0,135.0,105.0,3.0,4.0,6.0,4.666666666666667,0.1,0.6166666666666667,5.0,2.6666666666666665,0,0.0,0,0.0,0,0.0,1,1.0,1,0.3333333333333333,0,0.0,40,25.0,2019,9,17,1,260,0,0,-1.0,-1.8369701987210294e-16,10.0,8.333333333333334,0,2.55,4.9,0.0,40.0,0,2019-09-17,,,,,,,,,,,,0,,75.0,125.0,0,0.0,29.5,0.3125,15.0,15.0,25.0,4.0,2.5,3.5,36.0,36.0,55.0,25.0,25.0,30.0,15.0,19.166666666666668,3.8333333333333335,4.083333333333333,37.333333333333336,45.166666666666664,25.0,28.333333333333332,4.0,0.0,-7.833333333333329,0.15151515151515152,26.47058823529412,0.1858974358974359
5.0,10.0,25.0,17.0,25.0,20.0,90.0,90.0,3.0,4.2,6.0,4.8,0.1,0.72,4.0,2.4,1,0.2,0,0.0,0,0.0,0,0.6,1,0.2,2,0.4,46,33.2,2019,9,19,3,262,0,0,-1.0,-1.8369701987210294e-16,20.0,13.5,0,2.05,3.9,1.2,46.0,0,2019-09-19,,,,,,,,,,,,0,,100.0,100.0,0,25.0,27.7,0.15384615384615385,15.0,15.0,15.0,5.0,4.0,2.5,40.0,36.0,36.0,25.0,25.0,25.0,18.333333333333332,20.0,4.333333333333333,4.071428571428571,40.666666666666664,45.285714285714285,25.0,27.857142857142858,6.0,10.0,-4.61904761904762,0.15151515151515152,26.47058823529412,0.1858974358974359
10.0,11.0,20.0,16.0,25.0,25.0,90.0,60.0,3.0,4.25,6.0,5.5,0.1,0.775,4.0,3.25,1,0.2,0,0.0,0,0.0,0,0.6,1,0.2,2,0.4,40,31.2,2019,9,20,4,263,0,0,-1.0,-1.8369701987210294e-16,10.0,13.5,0,2.05,3.9,1.2,40.0,0,2019-09-20,,,,,,,,,,,,0,,80.0,100.0,0,20.0,26.2,0.19047619047619047,25.0,15.0,15.0,4.0,5.0,4.0,46.0,40.0,36.0,25.0,25.0,25.0,20.0,19.285714285714285,4.333333333333333,3.7857142857142856,42.0,44.0,25.0,26.428571428571427,-6.0,-5.0,-2.0,0.15151515151515152,26.47058823529412,0.1858974358974359
10.0,12.0,20.0,18.0,30.0,30.0,90.0,45.0,3.0,4.4,6.0,5.6,0.1,0.8699999999999999,4.0,3.4,1,0.2857142857142857,0,0.0,0,0.0,0,0.4285714285714285,1,0.1428571428571428,2,0.4285714285714285,53,29.857142857142858,2019,9,22,6,265,0,1,-1.0,-1.8369701987210294e-16,10.0,15.0,1,2.05,3.9,1.2857142857142856,53.0,0,2019-09-22,,,,,,,,,,,,0,,80.0,120.0,0,20.0,26.2,0.19047619047619047,20.0,25.0,15.0,4.0,4.0,5.0,40.0,46.0,40.0,25.0,25.0,25.0,21.666666666666668,19.285714285714285,4.0,3.857142857142857,46.333333333333336,43.714285714285715,26.666666666666668,26.428571428571427,13.0,0.0,2.6190476190476204,0.15151515151515152,26.47058823529412,0.1858974358974359
5.0,10.0,20.0,16.0,30.0,26.25,90.0,54.0,3.0,4.25,6.0,5.5,0.1,0.775,4.0,3.25,1,0.1666666666666666,0,0.0,0,0.0,0,0.5,1,0.1666666666666666,1,0.1666666666666666,53,28.83333333333333,2019,9,23,0,266,0,0,-1.0,-1.8369701987210294e-16,15.0,13.0,1,2.05,3.9,1.1666666666666667,53.0,1,2019-09-23,,,,,,,,,,,,0,,80.0,120.0,0,20.0,26.2,0.19047619047619047,20.0,20.0,25.0,4.0,4.0,4.0,53.0,40.0,46.0,30.0,25.0,25.0,20.0,18.571428571428573,4.0,3.9285714285714284,48.666666666666664,43.42857142857143,28.333333333333332,26.428571428571427,0.0,0.0,5.238095238095234,0.15151515151515152,26.47058823529412,0.1858974358974359
