date_incident,annee,mois,jour,jour_semaine,saison_cyclonique,zone_cotiere,region,district,commune,lon_geocode,lat_geocode,source_geocode,type_incident,description,personnes_concernees,deces
2017-02-05,2017,2,5,6,1,CAP D'AMBRE A BESALAMPY,,MADAGASCAR,,46.32589,-15.766938,original,,"A Mahajanga, le cadavre d’un homme retrouvé au port. Le corps sans vie d’un homme âgé d’une quarantaine d’années et non identifié a été rejeté par la mer. La victime avait encore sur lui tous ses vêtements. Son identification n’a pas été possible.",,
2017-02-25,2017,2,25,5,1,CAP D'AMBRE A BESALAMPY,,Katsepy Mahajanga/ Madagascar,,46.289816,-15.737907,original,, Le bac Makuba a coulé 25 Fév,,
2017-03-07,2017,3,7,1,1,,, OCEAN INDIEN,,54.740555,-21.401068,original,,"Le vraquier IRIS II (IMO 9286906, dwt 75798, construit 2004) a subi une panne moteur en route de l'Afrique du Sud vers Qasim au Pakistan à environ 140 nm à l'ouest de la Réunion dans l’Océan Indien.",,
2017-03-17,2017,3,17,4,1,BESALAMPY A MOROMBE,,madagascar,,43.872715,-18.042964,original,,"Un boutre qui a quitté Morondava  pour aller à Maintirano a sombré en mer, près d’un îlot de Maroantaly alors qu’il transportait une cinquantaine de passagers et 48 tonnes de marchandises. ",,
2017-03-31,2017,3,31,4,1,,,OCEAN INDIEN,,68.761516,-20.827302,original,,Un marin philippin âgé de 48 ans a été découvert inconscient dans son lit à bord du M/V Marine Star.,,
2017-04-17,2017,4,17,0,1,ANTALAHA A TOAMASINA,,MADAGASCAR,,49.420532,-18.150623,original,,Un garçon de 14 ans vient de se noyer en mer quand sa mère l'a envoyé nager devant un grand hôtel sur la plage vers 11 heures du matin.,,
2017-04-20,2017,4,20,3,1,CAP D'AMBRE A ANTALAHA,,MADAGASCAR ,,50.063335,-13.360009,original,,MADAGASCAR,,
2017-05-09,2017,5,9,1,0,ANTALAHA A TOAMASINA,,MADAGASCAR,,49.86958,-15.966218,original,,"Le bateau à moteur FIDELYS, avec à son bord des marchandises et 24 passagers, a coulé à l’entrée de Maroantsetra ; 20 personnes ont été secourues et emmenées à l’hôpital pour contrôle, tandis que 4 autres ont disparu,",,
2017-07-09,2017,7,9,6,0,,,OCEAN INDIEN,,59.665862,13.417318,original,,"Un navire grec ""AEGEAN ANGEL"" a  demandé de l'aide pour un marin grec blessé, qui a été transféré à bord d’une frégate turque par un hélicoptère Le marin grec a ensuite été transféré au port de Salalah à Oman pour recevoir une intervention médicale supplémentaire,",,
2017-07-11,2017,7,11,1,0,ANTALAHA A TOAMASINA,,MADAGASCAR,,49.502451,-17.514099,original,,"Le MS ATLANTIS II, avec 9 équipages à bord et 89T de marchandises, s’est échoué sur la côte de Mahambo, Fénérive-Est. Lors de son passage à Foulpointe, il a embarqué de l’eau à cause de la mauvaise météo l’obligeant ainsi à changer de route vers Mahambo. Toutes les marchandises ont été perdues en mer. Aucun mort ni blessé n’a été à déplorer.",,
2017-07-25,2017,7,25,1,0,,,OCEAN INDIEN,,45.816666,-29.383333,original,,"A la position 29°23.00 S / 045°49.00 E, un membre d’équipage du navire de pêche « HSIN MING SHEN N°28 » a alerté le CROSS RU pour indiquer que le capitaine du navire (59 ans) était sérieusement malade à bord:  ",,
2017-07-29,2017,7,29,5,0,CAP D'AMBRE A BESALAMPY,,MADAGSCAR,,45.695134,-14.77237,original,,"Le MV Babou Salama, un bateau battant pavillon comorien, qui effectue des liaisons commerciales entre le Nord-Est de la Madgascar et l’archipel des Comores, s’est embrasé en pleine traversée.",,
2017-08-04,2017,8,4,4,0,CAP D'AMBRE A ANTALAHA,,MADAGASCAR,,50.028404,-13.357719,original,,"Un bateau dénommé « Zandry kely », partant d’Ambolibozy vers Vohémar s’est cassé à proximité de Vohémar avec 40 passagers à bord, suite à une surcharge.",,
2017-08-06,2017,8,6,6,0,CAP D'AMBRE A BESALAMPY,,MADAGASCAR,,46.31118,-15.655496,original,,Le satellite de l’EMSA (CLEANSEANET) a détecté 3 petites pollutions hydrocarbures en ZEE malgache ,,
