Date debut,Date fin,Thématique,Objets,District,Commune,Localite,Region,Types,Longitude,Latitude,Personne concerne,Mort,Colonne1,description,Commentaire,Date_debut_dt
01/01/2017,01/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
02/01/2017,02/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
03/01/2017,03/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
04/01/2017,04/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
05/01/2017,05/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
06/01/2017,06/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
07/01/2017,07/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
08/01/2017,08/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
09/01/2017,09/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
10/01/2017,10/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
11/01/2017,11/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
12/01/2017,12/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
13/01/2017,13/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
14/01/2017,14/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
15/01/2017,15/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
16/01/2017,16/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
17/01/2017,17/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
18/01/2017,18/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
19/01/2017,19/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
20/01/2017,20/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
21/01/2017,21/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
22/01/2017,22/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
23/01/2017,23/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
24/01/2017,24/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
25/01/2017,25/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
26/01/2017,26/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
27/01/2017,27/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
28/01/2017,28/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
29/01/2017,29/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
30/01/2017,30/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
