,cote,cote,cote,cote,cote,cote,cote,cote,cote,cote,cote,cote,cote,description,description,description,description,description,description,description,description,description,description,description,description,description,lat_max,lat_max,lat_max,lat_max,lat_max,lat_max,lat_max,lat_max,lat_max,lat_max,lat_max,lat_max,lat_max,lat_min,lat_min,lat_min,lat_min,lat_min,lat_min,lat_min,lat_min,lat_min,lat_min,lat_min,lat_min,lat_min,lon_max,lon_max,lon_max,lon_max,lon_max,lon_max,lon_max,lon_max,lon_max,lon_max,lon_max,lon_max,lon_max,lon_min,lon_min,lon_min,lon_min,lon_min,lon_min,lon_min,lon_min,lon_min,lon_min,lon_min,lon_min,lon_min
region,ANALANJIROFO,ANDROY,ANOSY,ATSIMO ANDREFANA,ATSIMO ATSINANANA,ATSINANANA,BOENY,DIANA,MELAKY,MENABE,SAVA,SOFIA,VATOVAVY FITOVINANY,ANALANJIROFO,ANDROY,ANOSY,ATSIMO ANDREFANA,ATSIMO ATSINANANA,ATSINANANA,BOENY,DIANA,MELAKY,MENABE,SAVA,SOFIA,VATOVAVY FITOVINANY,ANALANJIROFO,ANDROY,ANOSY,ATSIMO ANDREFANA,ATSIMO ATSINANANA,ATSINANANA,BOENY,DIANA,MELAKY,MENABE,SAVA,SOFIA,VATOVAVY FITOVINANY,ANALANJIROFO,ANDROY,ANOSY,ATSIMO ANDREFANA,ATSIMO ATSINANANA,ATSINANANA,BOENY,DIANA,MELAKY,MENABE,SAVA,SOFIA,VATOVAVY FITOVINANY,ANALANJIROFO,ANDROY,ANOSY,ATSIMO ANDREFANA,ATSIMO ATSINANANA,ATSINANANA,BOENY,DIANA,MELAKY,MENABE,SAVA,SOFIA,VATOVAVY FITOVINANY,ANALANJIROFO,ANDROY,ANOSY,ATSIMO ANDREFANA,ATSIMO ATSINANANA,ATSINANANA,BOENY,DIANA,MELAKY,MENABE,SAVA,SOFIA,VATOVAVY FITOVINANY
zone_cotiere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESALAMPY A MOROMBE,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
CAP D'AMBRE A ANTALAHA,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
CAP D'AMBRE A BESALAMPY,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0
CAP D'AMBRE A CAP EST,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
CAP D'AMBRE A MAHANORO,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
CAP D'AMBRE A TOAMASINA,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
CAP EST A TAOLAGNARO,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1
MAHANORO AU CAP SAINTE MARIE,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1
