date,zone,vent,etat_mer,temps
06/09/2019,CAP D'AMBRE A MAHANORO,10/15 kt atteignant 20/25 kt au nord d'Antalaha,agitée à forte,Pluies faible a modérée
06/09/2019,MAHANORO AU CAP SAINTE MARIE,05/10 kt devenant progressivement secteur sud 20/25kt localement 30kt vers midi,agitée à forte,pluies
06/09/2019,CAP D'AMBRE A BESALAMPY,"15/20 kt localement 20 kt au sud de Majunga, variable 05/10kt ailleurs",Non spécifié,Temps sec
06/09/2019,BESALAMPY A MOROMBE,15/20 kt,"agitée a forte, très forte près Morombe dans la deuxième partie de période",Temps sec
06/09/2019,MOROMBE A CAP SAINTE MARIE,20/25 kt atteignant 30/35 kt entre Morombe et,Non spécifié,Temps partiellement nuageux
07/09/2019,CAP D'AMBRE A BESALAMPY,DE SUD-EST 15/20 KT ATTEIGNANT 30 KT LE MATIN ENTRE BESALAMPY ET ANALALAVA. VENT DE SECTEUR NORD 10/15 KT L'APRES-MIDI,PEU AGITÉ,Non spécifié
07/09/2019,BESALAMPY A MOROMBE,"DE SECTEUR SUD 20/25 KT. LOCALEMENT 30 KT AU COURS DE L'APRES-MIDI, S'AFFAIBLISSANT SUD-",AGITÉ,SEC
07/09/2019,MOROMBE AU CAP SAINTE MARIE,DE SUD-EST 20/25 KT TOURNANT SECTEUR EST TEMPORAIRE 27/33 KT ENTRE MOROMBE ET AMBOVOMBE,F,PARTIELLEMENT NUAGEUX
07/09/2019,MAHANORO AU CAP SAINTE MARIE,DE SUD-EST 20/25 KT ATTEIGNANT LOCALEMENT 30KT,"AGITÉE À FORTE, TRES FORTE PAR",Non spécifié
07/09/2019,CAP D'AMBRE A MAHANORO,DE SUD-EST 15/20 KT ATTEIGNANT 25/30 KT AU NORD D'ANTALAHA,AGITÉE À FORTE. HAUTEUR DE VAGUE 2.8/3.2M,Non spécifié
09/09/2019,CAP D'AMBRE A MAHANORO,"DE SUD-EST 05/10 KT LOCALEMENT 15 KT AU SUD D'ANTALAHA; AILLEURS, SUD-EST 15/20 KT LOCALEMENT 25 KT ATTEIGNANT 30 KTR VERS CAP D'AMBRE",FORTE. HAUTEUR DE VAGUE 2/3.5M,Non spécifié
09/09/2019,MAHANORO AU CAP SAINTE MARIE,DE D'EST À NORD-EST 05/10 KT LOCALEMENT 15/20 KT DEVENANT NORD-EST 20/25 KT LOCALEMENT 30 KT AU SUD DE VANGAINDRANO,FORTE S'AFFAIBLISSANT LE JOUR SUIVANT. HAUTEUR DE VAGUE 2/2.5M LOCALEMENT 3M,Non spécifié
09/09/2019,CAP D'AMBRE A BESALAMPY,DE SUD-EST 10/15 KT LOCALEMENT 20 KT TOURNANT SUD-OUEST 10/15 KT L'APRES- MIDI,BELLE À PEU AGITÉE. HAUTEUR DE VAGUE 0.5/1M,Non spécifié
09/09/2019,BESALAMPY A MOROMBE,DE SECTEUR SUD 10/15 KT DEVENANT VARIABLE 05 KT AU SUD DE MORONDAVA,PEU AGITÉE À AGITÉE. HAUTEUR DE VAGUE 1/1.5 M,Non spécifié
09/09/2019,MOROMBE AU CAP SAINTE MARIE,DE NORD-EST 15/20 KT LOCALEMENT 25/30 KT,FORTE À TRES FORTE. HAUTEUR DE VAGUE 2.5/3 M ATTEIGNANT 2.5M PAR,Non spécifié
10/09/2019,CAP D'AMBRE A MAHANORO,"DE SUD-EST 20/25KT ENTRE CAP D'AMBRE ET ANTALAHA LOCALEMENT 30KT SUR LA POINTE NORD, 05/10 KT LOCALEMENT 15 KT","AGITÉE À FORTE, S'AFFAIBLISSANT LE JOUR SUIVANT. HAUTEUR DE VAGUE 2/3.5M",Non spécifié
10/09/2019,MAHANORO AU CAP SAINTE MARIE,DE NORD-EST 05/10 KT ATTEIGNANT 15/25 KT SUR LA MOITIÉE SUD DE ZONE,AGITÉE . HAUTEUR DE VAGUE 1.5/2M,Non spécifié
10/09/2019,CAP D'AMBRE A BESALAMPY,DE SUD-EST 10/15 KT LOCALEMENT 20 KT TOURNANT SUD-OUEST 10/15 KT L'APRES-MIDI,BELLE À PEU AGITÉE. HAUTEUR DE VAGUE 0.5/1.5M,Non spécifié
10/09/2019,BESALAMPY A MOROMBE,DE SECTEUR NORD 10/15 KT DEVENANT VARIABLE 05 KT EN FIN PÉRIODE,PEU AGITÉE. HAUTEUR DE VAGUE 1/1.5 M,SEC
10/09/2019,MOROMBE AU CAP SAINTE MARIE,DE NORD-EST 10/15 KT DEVENANT VARIABLE 05/10KT DANS LA DEUXIÈME,AGITÉE. HAUTEUR DE VAGUE 1.5/2M,Non spécifié
