date,zone,vent,etat_mer,temps,vent_vitesse_min,vent_vitesse_max,vent_rafales,vent_direction,vent_direction_deg,mer_score_min,mer_score_max,mer_hauteur_min,mer_hauteur_max,temps_precipitation,temps_orage,temps_visibilite_reduite,temps_clair,temps_nuageux,temps_intensite,temps_score_danger,score_risque,categorie_risque
06/09/2019,CAP D'AMBRE A MAHANORO,10/15 kt atteignant 20/25 kt au nord d'Antalaha,agitée à forte,Pluies faible a modérée,10,15,25,E,90,5,6,1.25,4.0,1,0,0,0,0,2,3,49,Élevé (40-60)
06/09/2019,MAHANORO AU CAP SAINTE MARIE,05/10 kt devenant progressivement secteur sud 20/25kt localement 30kt vers midi,agitée à forte,pluies,5,10,30,E,90,5,6,1.25,4.0,1,0,0,0,0,0,1,43,Élevé (40-60)
06/09/2019,CAP D'AMBRE A BESALAMPY,"15/20 kt localement 20 kt au sud de Majunga, variable 05/10kt ailleurs",Non spécifié,Temps sec,15,20,20,E,90,,,,,0,0,0,1,0,0,0,15,Faible (0-20)
06/09/2019,BESALAMPY A MOROMBE,15/20 kt,"agitée a forte, très forte près Morombe dans la deuxième partie de période",Temps sec,15,20,,,,5,7,1.25,6.0,0,0,0,1,0,0,0,45,Élevé (40-60)
06/09/2019,MOROMBE A CAP SAINTE MARIE,20/25 kt atteignant 30/35 kt entre Morombe et,Non spécifié,Temps partiellement nuageux,20,25,35,E,90,,,,,0,0,0,0,1,0,0,35,Modéré (20-40)
07/09/2019,CAP D'AMBRE A BESALAMPY,DE SUD-EST 15/20 KT ATTEIGNANT 30 KT LE MATIN ENTRE BESALAMPY ET ANALALAVA. VENT DE SECTEUR NORD 10/15 KT L'APRES-MIDI,PEU AGITÉ,Non specifie,15,20,30,SUD-EST,135,,,,,0,0,0,0,0,0,0,25,Modéré (20-40)
07/09/2019,BESALAMPY A MOROMBE,"DE SECTEUR SUD 20/25 KT. LOCALEMENT 30 KT AU COURS DE L'APRES-MIDI, S'AFFAIBLISSANT SUD-",AGITÉ,SEC,20,25,30,S,180,,,,,0,0,0,1,0,0,0,30,Modéré (20-40)
07/09/2019,MOROMBE AU CAP SAINTE MARIE,DE SUD-EST 20/25 KT TOURNANT SECTEUR EST TEMPORAIRE 27/33 KT ENTRE MOROMBE ET AMBOVOMBE,F,PARTIELLEMENT NUAGEUX,20,25,,SUD-EST,135,,,,,0,0,0,0,1,0,0,20,Faible (0-20)
07/09/2019,MAHANORO AU CAP SAINTE MARIE,DE SUD-EST 20/25 KT ATTEIGNANT LOCALEMENT 30KT,"AGITÉE À FORTE, TRES FORTE PAR",Non specifie,20,25,30,SUD-EST,135,5,7,1.25,6.0,0,0,0,0,0,0,0,60,Élevé (40-60)
07/09/2019,CAP D'AMBRE A MAHANORO,DE SUD-EST 15/20 KT ATTEIGNANT 25/30 KT AU NORD D'ANTALAHA,AGITÉE À FORTE. HAUTEUR DE VAGUE 2.8/3.2M,Non specifie,15,20,30,SUD-EST,135,5,6,1.25,3.2,0,0,0,0,0,0,0,50,Élevé (40-60)
09/09/2019,CAP D'AMBRE A MAHANORO,"DE SUD-EST 05/10 KT LOCALEMENT 15 KT AU SUD D'ANTALAHA; AILLEURS, SUD-EST 15/20 KT LOCALEMENT 25 KT ATTEIGNANT 30 KTR VERS CAP D'AMBRE",FORTE. HAUTEUR DE VAGUE 2/3.5M,Non specifie,5,10,15,SUD-EST,135,6,6,2.5,3.5,0,0,0,0,0,0,0,30,Modéré (20-40)
09/09/2019,MAHANORO AU CAP SAINTE MARIE,DE D'EST À NORD-EST 05/10 KT LOCALEMENT 15/20 KT DEVENANT NORD-EST 20/25 KT LOCALEMENT 30 KT AU SUD DE VANGAINDRANO,FORTE S'AFFAIBLISSANT LE JOUR SUIVANT. HAUTEUR DE VAGUE 2/2.5M LOCALEMENT 3M,Non specifie,5,10,20,E,90,6,6,2.5,2.5,0,0,0,0,0,0,0,30,Modéré (20-40)
09/09/2019,CAP D'AMBRE A BESALAMPY,DE SUD-EST 10/15 KT LOCALEMENT 20 KT TOURNANT SUD-OUEST 10/15 KT L'APRES- MIDI,BELLE À PEU AGITÉE. HAUTEUR DE VAGUE 0.5/1M,Non specifie,10,15,20,SUD-EST,135,3,5,0.1,1.0,0,0,0,0,0,0,0,30,Modéré (20-40)
09/09/2019,BESALAMPY A MOROMBE,DE SECTEUR SUD 10/15 KT DEVENANT VARIABLE 05 KT AU SUD DE MORONDAVA,PEU AGITÉE À AGITÉE. HAUTEUR DE VAGUE 1/1.5 M,Non specifie,10,15,,S,180,4,5,0.5,1.5,0,0,0,0,0,0,0,30,Modéré (20-40)
09/09/2019,MOROMBE AU CAP SAINTE MARIE,DE NORD-EST 15/20 KT LOCALEMENT 25/30 KT,FORTE À TRES FORTE. HAUTEUR DE VAGUE 2.5/3 M ATTEIGNANT 2.5M PAR,Non specifie,15,20,30,NORD-EST,45,6,7,2.5,3.0,0,0,0,0,0,0,0,55,Élevé (40-60)
10/09/2019,CAP D'AMBRE A MAHANORO,"DE SUD-EST 20/25KT ENTRE CAP D'AMBRE ET ANTALAHA LOCALEMENT 30KT SUR LA POINTE NORD, 05/10 KT LOCALEMENT 15 KT","AGITÉE À FORTE, S'AFFAIBLISSANT LE JOUR SUIVANT. HAUTEUR DE VAGUE 2/3.5M",Non specifie,20,25,30,SUD-EST,135,5,6,1.25,3.5,0,0,0,0,0,0,0,55,Élevé (40-60)
10/09/2019,MAHANORO AU CAP SAINTE MARIE,DE NORD-EST 05/10 KT ATTEIGNANT 15/25 KT SUR LA MOITIÉE SUD DE ZONE,AGITÉE . HAUTEUR DE VAGUE 1.5/2M,Non specifie,5,10,25,NORD-EST,45,5,5,1.25,2.0,0,0,0,0,0,0,0,30,Modéré (20-40)
10/09/2019,CAP D'AMBRE A BESALAMPY,DE SUD-EST 10/15 KT LOCALEMENT 20 KT TOURNANT SUD-OUEST 10/15 KT L'APRES-MIDI,BELLE À PEU AGITÉE. HAUTEUR DE VAGUE 0.5/1.5M,Non specifie,10,15,20,SUD-EST,135,3,5,0.1,1.5,0,0,0,0,0,0,0,30,Modéré (20-40)
10/09/2019,BESALAMPY A MOROMBE,DE SECTEUR NORD 10/15 KT DEVENANT VARIABLE 05 KT EN FIN PÉRIODE,PEU AGITÉE. HAUTEUR DE VAGUE 1/1.5 M,SEC,10,15,,S,180,4,5,0.5,1.5,0,0,0,1,0,0,0,30,Modéré (20-40)
10/09/2019,MOROMBE AU CAP SAINTE MARIE,DE NORD-EST 10/15 KT DEVENANT VARIABLE 05/10KT DANS LA DEUXIÈME,AGITÉE. HAUTEUR DE VAGUE 1.5/2M,Non specifie,10,15,,NORD-EST,45,5,5,1.25,2.0,0,0,0,0,0,0,0,30,Modéré (20-40)
13/09/2019,"PRÉVISION POUR LES COTES DE MADAGASCAR
CAP D'AMBRE A TOAMASINA","10/15 kt, 20/25 kt au Nord d'Antalaha",peu agitée à agitée,Pluies faibles,10,15,,NORD,0,4,5,0.5,2.5,1,0,0,0,0,1,2,36,Modéré (20-40)
